video_url,video_type,topic,emotion,hook_type,format,exceed_at,engagement_rate,duration,shares,comments,likes,views_per_sub
https://www.tiktok.com/@luuluongchiasenews/video/7606556606981065998,news reaction,Phát hiện Vương Gia Dubai ăn thịt hàng trăm lần,outrage,shocking fact,talking head,views_per_subs,2.469315,99,27500,2460,150300,1747.665789
https://www.tiktok.com/@stevent107/video/7583603906735901973,news reaction,14/12: Căng! tầu chiến Việt Nam đi qua eo biển Đài Loan ,curiosity,shocking fact,infographic,views_per_subs,2.511533,126,429,544,36700,1722.158439
https://www.tiktok.com/@bankerthichcode/video/7527169958829198610,explanation,"Bằng chứng ghi âm hội thoại giữa thầy và học viên .Sự thật về người thầy 10 tỷ Hữu Sông, phần 1 cho những sự thật trước cơ quan điều tra. Thầy Hữu Sông, Cạnh tranh, Cạnh khoé, Trái Sông, Trái Giang, Phạm Phải Giang, Phạm Hữu Sông, Phạm Trái Sông.",outrage,shocking fact,talking head,views_per_subs,3.046571,183,18600,3038,255600,1586.194875
https://www.tiktok.com/@bankerthichcode/video/7522435289252433159,explanation,"Lên án Hữu Sông, đòi lại quyền lợi cho những ai đã mua sách và khoá học của thầy Hữu Giang. Sách cạnh tranh không xứng với giá trị bỏ ra. Lật sử cài cắm tôn vinh chính phủ tay sai Việt Nam cộng hoà và nguyễn văn thiệu. Sai lệch về chiến tranh tại Việt Nam. Sách cài cắm chính trị Không diệt không sinh đừng sợ hãi của thích nhất hạnh. ",outrage,shocking fact,talking head,views_per_subs,3.772169,299,39000,4523,292200,1551.33345
https://www.tiktok.com/@stevent107/video/7581063251644009746,news reaction,7/12: Trung quốc chơi lớn lùa hơn 100 tàu tập trận gàn Nhật bản,outrage,shocking fact,talking head,views_per_subs,1.923583,130,410,1073,21600,1377.726751
https://www.tiktok.com/@bankerthichcode/video/7584066636773149960,news reaction,Thái Lan - Campuchia và phản ứng của Việt Nam,outrage,shocking fact,infographic,views_per_subs,3.141014,136,8001,3352,214800,1255.01133
https://www.tiktok.com/@luuluongchiasenews/video/7606751967129521422,news reaction, Khám phá thủ tướng Việt Nam duy nhất xuất hiện trong hồ sơ Epstein. Đón xem để biết thêm chi tiết! #epstein #thutong #vietnam,surprise,shocking fact,talking head,views_per_subs,1.86356,62,4422,1956,86800,1197.031362
https://www.tiktok.com/@luuluongchiasenews/video/7609940155436174606,news reaction,Mexico đang trải qua biến loạn. Tìm hiểu về cái chết của trùm xã hội đen El Mencho và tác động đến người dân. #Mexico #ElMencho #biếnloạn,fear,shocking fact,talking head,views_per_subs,2.600732,90,8045,885,97700,981.565478
https://www.tiktok.com/@luuluongchiasenews/video/7602326175456791821,news reaction,"Gửi tiền về Việtnam có thể bị tịch thu tiền lương, phạt $100,000, hoặc ở tù",fear,shocking fact,talking head,views_per_subs,2.108436,155,28100,2029,52100,933.684463
https://www.tiktok.com/@bankerthichcode/video/7525714200686054674,news reaction,"Hữu Giang xúc phạm nguyên thủ quốc gia. Mình phản biện lại tư tưởng trọng nam khinh nữ, và giải thích vì sao lãnh đạo đa số là đàn ông chứ không phải phụ nữ. Cụu phó chủ tịch nước Bà Nguyễn Thị Bình, Cựu chủ tịch quốc hội Nguyễn Thị Kim Ngân, phó chủ tịch nước Võ Thị Ánh Xuân Thống đốc ngân hàng Nguyễn Thị Hồng,… những người này có phải là tư duy kém không?",outrage,question,talking head,views_per_subs,6.966245,173,47900,9811,311500,923.827785
https://www.tiktok.com/@luuluongchiasenews/video/7607868804269362445,news reaction,"Xuất hiện hai con cá mái chèo ở Nhật Bản là điềm báo động đất, sóng thần sắp xảy ra. Tìm hiểu điều này cùng chúng tôi!",curiosity,shocking fact,talking head,views_per_subs,1.729694,77,3983,686,57600,861.862581
https://www.tiktok.com/@bankerthichcode/video/7545182472884030738,explanation,Tiềm năng khí tài quân đội Việt Nam tại lễ diễu binh A80,curiosity,shocking fact,talking head,views_per_subs,6.880447,177,25600,6181,291600,819.243507
